United States,Hamburger,Hot Dog,Pizza,Apple Pie,Meat Pie,Tofu,Sushi
Italy,Pizza,Pasta,Risotto,Tacos,,,
Japan,Sushi,Ramen,Hot Pot,Tofu,,,
India,Butter Chicken,Biryani,Samosa,Pide,,,
Mexico,Tacos,Tofu,Hamburger,Ceviche,Pizza,,
China,Peking Duck,Dim Sum,Kung Pao Chicken,Tofu,,,
Iran,Kebab,Biryani,Pasta,Fesenjan,Samosa,,
Crotia,Strukli,Buzara,Pasta,Pizza,Iskender,,
Germany,Bratwurst,Pasta,Strukli,Pretzel,Peking Duck,,
Turkey,Kebab,Pizza,Pide,Iskender,Hot Dog,,
Australia,Hamburger,Pasta,Pizza,Meat Pie,Pavlova,,
Canada,Pizza,Apple Pie,Guacamole,Hamburger,Pasta,,
